Id,SalePrice
1461,125520.867188
1462,169172.90625
1463,179946.453125
1464,193154.703125
1465,176483.328125
1466,175289.609375
1467,170289.03125
1468,164147.828125
1469,185592.875
1470,127317.03125
1471,202037.328125
1472,98443.2890625
1473,101547.890625
1474,150794.453125
1475,123893.976562
1476,404715.96875
1477,279753.5625
1478,290656.75
1479,276607.875
1480,516481.5
1481,326538.40625
1482,210030.9375
1483,161216.890625
1484,161904.265625
1485,182326.96875
1486,194695.5625
1487,363795.96875
1488,237272.609375
1489,206086.625
1490,230042.1875
1491,190561.375
1492,85289.4609375
1493,187547.0
1494,294054.65625
1495,282022.25
1496,245342.65625
1497,176970.125
1498,161980.859375
1499,162454.78125
1500,148832.859375
1501,177841.921875
1502,150972.671875
1503,330279.15625
1504,232671.84375
1505,226729.640625
1506,192819.046875
1507,255260.734375
1508,187231.875
1509,159936.03125
1510,144309.75
1511,140021.75
1512,175596.34375
1513,148997.734375
1514,147237.8125
1515,190985.15625
1516,152436.859375
1517,160552.546875
1518,125146.921875
1519,229718.09375
1520,135201.375
1521,137422.90625
1522,174985.078125
1523,108980.851562
1524,119707.765625
1525,122570.890625
1526,115527.304688
1527,108797.976562
1528,134435.84375
1529,155656.90625
1530,173236.953125
1531,83266.46875
1532,105370.398438
1533,146794.703125
1534,122166.648438
1535,157647.734375
1536,108346.882812
1537,57756.5664062
1538,168006.5
1539,182564.203125
1540,81022.5
1541,139473.9375
1542,138780.4375
1543,226884.046875
1544,77342.8515625
1545,115165.90625
1546,130273.96875
1547,129028.304688
1548,144415.5
1549,119538.609375
1550,147530.546875
1551,112820.359375
1552,130771.726562
1553,157147.4375
1554,110758.734375
1555,163852.21875
1556,77528.7734375
1557,111993.03125
1558,90422.1484375
1559,90249.5546875
1560,133078.28125
1561,137874.5
1562,131295.40625
1563,123967.859375
1564,154363.765625
1565,142174.859375
1566,224631.3125
1567,72291.875
1568,212988.0625
1569,133594.609375
1570,130389.734375
1571,120340.679688
1572,150019.78125
1573,279726.71875
1574,113259.867188
1575,212530.59375
1576,220600.375
1577,198997.5
1578,150755.671875
1579,150100.21875
1580,190806.03125
1581,151705.625
1582,130835.578125
1583,326842.71875
1584,229599.953125
1585,139458.828125
1586,74331.5
1587,87161.1171875
1588,153717.296875
1589,104427.414062
1590,132725.5
1591,94456.953125
1592,122998.265625
1593,136290.5625
1594,128066.601562
1595,105322.210938
1596,244298.546875
1597,179422.578125
1598,209731.390625
1599,181995.015625
1600,178437.453125
1601,69022.9609375
1602,107246.539062
1603,74537.2890625
1604,274020.09375
1605,248354.71875
1606,170719.90625
1607,173792.421875
1608,216888.75
1609,193030.171875
1610,157059.359375
1611,140054.671875
1612,175191.859375
1613,160501.46875
1614,129989.445312
1615,95370.8515625
1616,69944.9921875
1617,93266.6875
1618,127315.460938
1619,141462.96875
1620,147521.546875
1621,137937.734375
1622,142847.84375
1623,282110.59375
1624,203435.796875
1625,130895.0625
1626,170149.625
1627,184440.03125
1628,273288.53125
1629,174345.171875
1630,398214.875
1631,221013.765625
1632,224797.25
1633,167362.046875
1634,180581.046875
1635,185477.203125
1636,156608.046875
1637,175022.84375
1638,198498.0625
1639,180974.453125
1640,253865.671875
1641,175629.53125
1642,233992.34375
1643,214525.5
1644,220304.84375
1645,208184.15625
1646,158170.625
1647,158379.9375
1648,132623.890625
1649,141761.140625
1650,109484.96875
1651,125314.0625
1652,95899.78125
1653,94871.625
1654,149452.640625
1655,142333.765625
1656,146290.765625
1657,149791.296875
1658,144567.640625
1659,128713.28125
1660,148262.5
1661,436115.84375
1662,442336.71875
1663,386484.1875
1664,386189.625
1665,305012.40625
1666,299947.78125
1667,358460.84375
1668,332990.96875
1669,299754.25
1670,361189.09375
1671,255529.796875
1672,471744.6875
1673,299010.0
1674,243857.03125
1675,191267.40625
1676,192508.6875
1677,223923.578125
1678,479757.84375
1679,379744.5625
1680,337264.15625
1681,257442.0
1682,259321.234375
1683,177905.71875
1684,165565.84375
1685,162738.5
1686,165755.46875
